Job Title,Employer,Estimated Salary,Location
"JUNIOR DEVELOPER - Dubai, UAE","Cobblestone Energy - Dubai, UAE.",NA,Dubai
Junior Web Developer,Sabir Maintenance Est,AED 2K (Employer est.),Dubai
Software Developer,AKW Consultants,AED 6K - AED 10K (Employer est.),Dubai
IT Support Technician / Engineer,Demind Firma Management LLC,NA,Sharjah
For Junior programmer Experience,Intigen Technologies LLC,AED 2K - AED 3K (Employer est.),Dubai
Web Developer,Shoolin Niche Properties LLC,NA,Dubai
Supervisor,GOOD DEAL GENERAL TRADING,AED 4K - AED 6K (Employer est.),Dubai
Front End Web Developer,ALH Properties,NA,Dubai
Web Developer,Ducon Industries FZCO,AED 3K - AED 4K (Employer est.),Dubai
Web Developer - Male,HPT,NA,Dubai
Web Developer,Alsaher Telecom,NA,Abu Dhabi
Web Designer,Folio Advice,AED 95K - AED 110K (Employer est.),Dubai
Web/App Developer,Suhail Industrial Holding Group1.0 ★,NA,Sharjah
App developeer,Brothers Destiny Group,NA,Dubai
Business developer - UAE,Cybele group,AED 7K - AED 20K (Employer est.),Dubai
Tech Lead,DIFX Technology LLC2.0 ★,AED 6K - AED 27K (Employer est.),Dubai
PHP Developer,ParamInfo4.7 ★,NA,Dubai
Web Developer,Spring Field Real Estate,AED 5K (Employer est.),Dubai
Marketing assistant,dmg events2.6 ★,NA,Dubai
Web Developer,EMC ELECTROMECHANICAL CO.LLC,NA,Dubai
Software Engineer,Medad Holding,NA,Abu Dhabi
JavaScript Developer,Anexas Consultancy3.6 ★,NA,Abu Dhabi
Front Office Administrator,99 Real Estate,AED 4K - AED 6K (Employer est.),Dubai
.Net Developer,OMA Emirates General Trading,NA,Sharjah
Marketing assistant - dmg events,Talent Pal,NA,Dubai
Web Developer,Oscar Star Facilities Management Services LLC,NA,Dubai
Web Developer,AKC Group of companies,AED 3K - AED 4K (Employer est.),Dubai
Head of Software Development - Selectlab,Talent Pal,NA,Dubai
Developer Middleware,Commercial Bank of Dubai3.3 ★,NA,Dubai
Instructional Developer,United Arab Emirates University4.1 ★,NA,Al `Ayn
Web Developer & Digital Marketer,NA,NA,Abu Dhabi
Full Stack Web Developer,NA,AED 3K - AED 4K (Employer est.),Ajman
Full Stack Developer,NA,AED 3K - AED 5K (Employer est.),Dubai
Web Developer & SEO Specialist,NA,NA,Dubai
Web3 / Full Stack Web Developer,NA,AED 4K - AED 5K (Employer est.),Dubai
Dubai - Full-stack Developer (SaaS),NA,NA,Dubai
Front End Web Developer,NA,AED 4K (Employer est.),Abu Dhabi
Web Developer,NA,AED 5K (Employer est.),Dubai
WordPress Developer,NA,AED 5K - AED 7K (Employer est.),Dubai
.Net Developer,NA,NA,Dubai
Web Developer,NA,AED 3K - AED 4K (Employer est.),Dubai
Web Developer cum E-commerce associates,NA,AED 2K - AED 3K (Employer est.),Sharjah
PHP Developer,NA,NA,Dubai
NodeJs Developer,NA,AED 15K - AED 20K (Employer est.),Dubai
WordPress Developer,NA,NA,Dubai
Front-end Developer,NA,NA,Dubai
JUNIOR .NET DEVELOPER,NA,NA,Dubai
Angular Developer,NA,NA,Dubai
Software Developer,NA,NA,Dubai
PHP Developer,NA,NA,Dubai
Senior Front End Developer (Angular),NA,NA,Dubai
Web Developer & Digital Marketing,NA,AED 3K - AED 5K (Employer est.),Dubai
Sales & Business Development - Digital Media,NA,AED 8K - AED 14K (Employer est.),Dubai
Web Developer - E Commerce,NA,AED 3K (Employer est.),Dubai
Dot Net Developer,NA,NA,Sharjah
Web Developer,NA,NA,Abu Dhabi
Java Developer,NA,NA,Dubai
Project Director – High Rise,NA,NA,Dubai
Freelance Flutter App Developer,NA,NA,Dubai
Full Stack Developer,NA,NA,Dubai
"JUNIOR DEVELOPER - Dubai, UAE",NA,NA,Sharjah
Project Director – High Rise,NA,NA,Dubai
Senior Developer Middleware,NA,NA,Dubai
Freelancer Software Developer PHP/Flutter,NA,AED 120.00 - AED 160.00 Per Hour (Employer est.),Dubai
IT Developer,NA,NA,Sharjah
Senior Vice President - Development,NA,NA,Abu Dhabi
Sr. PHP Developer,NA,NA,Dubai
Dot Net Developer,NA,AED 9K - AED 10K (Employer est.),Abu Dhabi
Real Estate Sales Agent,NA,AED 8K - AED 15K (Employer est.),Dubai
Online Real Estate Agent -Dubai Property Developer(fixed salary+commission),NA,AED 11K - AED 12K (Employer est.),Dubai
Web Developer,NA,AED 5K - AED 7K (Employer est.),Dubai
Senior Frontend Developer,NA,NA,Abu Dhabi
Fullstack Development - Computer Vision - Internship,NA,NA,Sharjah
.Net Developer,NA,NA,Ajman
Web Developer,NA,AED 22K (Employer est.),Abu Dhabi
Web Developer - E Commerce,NA,AED 3K (Employer est.),Dubai
Dot Net Developer,NA,NA,Dubai
Mobile Applications Developer / Hybrid Developer,NA,NA,Sharjah
Full Stack Developer,NA,NA,Dubai
Sales Coordinator,NA,NA,Abu Dhabi
Technical Manager – SRE,NA,NA,Dubai
Customer Facing - Front-end Developer,NA,NA,Dubai
.Net Developer,NA,NA,Dubai
Asp.Net Developer,NA,NA,Dubai
PHP Developer,NA,NA,Dubai
Sales & Business Development - Digital Media,NA,AED 8K - AED 14K (Employer est.),Dubai
Full Stack Developer - Aurem,NA,NA,Abu Dhabi
"Middle East Business Developer, Executive Director, Dubai",NA,NA,Dubai
WordPress Developer,NA,NA,Dubai
Full Stack Developer (Web and Mobile),NA,AED 5K - AED 8K (Employer est.),Al `Ayn
"JUNIOR DEVELOPER - Dubai, UAE",NA,NA,Sharjah
Online Real Estate Agent -Dubai Property Developer(fixed salary+commission),NA,AED 11K - AED 12K (Employer est.),Dubai
Senior Vice President - Development,NA,NA,Abu Dhabi
Real Estate Sales Agent,NA,AED 8K - AED 15K (Employer est.),Dubai
Dot Net Developer,NA,AED 9K - AED 10K (Employer est.),Abu Dhabi
Fullstack Development - Computer Vision - Internship,NA,NA,Sharjah
Web Developer,NA,AED 22K (Employer est.),Abu Dhabi
Vice President - Development,NA,NA,Abu Dhabi
Full Stack Developer - Aurem,NA,NA,Abu Dhabi
Team Head - Offplan Property Sales (Leading Developer),NA,AED 25K - AED 30K (Employer est.),Dubai
"Developer Application Food Dubai, UAE",NA,NA,Dubai
Sales Coordinator,NA,NA,Abu Dhabi
UI Developer,NA,NA,United Arab Emirates
Web Developer (Dubai Location),NA,NA,United Arab Emirates
"Middle East Business Developer, Executive Director, Dubai",NA,NA,Dubai
WordPress Developer - freelance,NA,NA,Dubai
Technical Manager – SRE,NA,NA,Dubai
Full Stack Developer,NA,NA,Dubai
.NET Developer,NA,NA,Dubai
Sales & Business Development - Digital Media,NA,AED 8K - AED 14K (Employer est.),Dubai
Full Stack Developer,NA,AED 17K - AED 20K (Employer est.),Dubai
Mobile Application Developer,NA,AED 4K - AED 7K (Employer est.),Ajman
Dot Net Programmer,NA,NA,Dubai
Sr. Software Developer,NA,NA,United Arab Emirates
Russian speaker-Property Consultant ($ 3300 fixed salary+commission+visa),NA,AED 12K (Employer est.),Dubai
Full Stack Developer (Web and Mobile),NA,AED 5K - AED 8K (Employer est.),Al `Ayn
.Net Developer,NA,NA,Abu Dhabi
Microsoft Power BI Developer,NA,NA,Sharjah
General Manager - Sales off plan (with past Property Developer experience),NA,AED 25K - AED 30K (Employer est.),Dubai
Human Resources - Intern,NA,NA,Dubai
"JUNIOR DEVELOPER - Dubai, UAE",NA,NA,Sharjah
Dot Net Developer,NA,AED 9K - AED 10K (Employer est.),Abu Dhabi
Web Developer,NA,AED 22K (Employer est.),Abu Dhabi
Vice President - Development,NA,NA,Abu Dhabi
Sales Coordinator,NA,NA,Abu Dhabi
Web Developer (Dubai Location),NA,NA,United Arab Emirates
"Middle East Business Developer, Executive Director, Dubai",NA,NA,Dubai
WordPress Developer - freelance,NA,NA,Dubai
Full Stack Developer,NA,AED 17K - AED 20K (Employer est.),Dubai
Sr. Software Developer,NA,NA,United Arab Emirates
Russian speaker-Property Consultant ($ 3300 fixed salary+commission+visa),NA,AED 12K (Employer est.),Dubai
.Net Developer,NA,NA,Abu Dhabi
Microsoft Power BI Developer,NA,NA,Sharjah
General Manager - Sales off plan (with past Property Developer experience),NA,AED 25K - AED 30K (Employer est.),Dubai
Human Resources - Intern,NA,NA,Dubai
SENIOR SOFTWARE DEVELOPER,NA,NA,Abu Dhabi
Front-End Developer – Dubai,NA,NA,Dubai
WooCommerce Developer (Customization and Plugin Development),NA,AED 3K - AED 5K (Employer est.),Dubai
Web Front-End Developer,NA,NA,Dubai
Software Developer,NA,NA,Abu Dhabi
Front End Developer - Part Time,NA,NA,Dubai
Technical Coordinator,NA,AED 13K (Employer est.),Dubai
Java Developer,NA,AED 12K - AED 14K (Employer est.),Dubai
Dot Net Core(.Net Core) Senior Developer,NA,AED 8K - AED 12K (Employer est.),Ajman
Senior SQL Developer,NA,NA,Abu Dhabi
VUE Developer (Frontend),NA,AED 5K - AED 10K (Employer est.),Dubai
Flutter Mobile Application Developer,NA,NA,Dubai
Real Estate Sales Agent,NA,NA,Ajman
PHP Developer,NA,NA,Dubai
Web developer,NA,AED 3K - AED 4K (Employer est.),Abu Dhabi
"JUNIOR DEVELOPER - Dubai, UAE",NA,NA,Sharjah
Dot Net Developer,NA,AED 9K - AED 10K (Employer est.),Abu Dhabi
Web Developer (Dubai Location),NA,NA,United Arab Emirates
Vice President - Development,NA,NA,Abu Dhabi
Russian speaker-Property Consultant ($ 3300 fixed salary+commission+visa),NA,AED 12K (Employer est.),Dubai
Front End Developer - Part Time,NA,NA,Dubai
.Net Developer,NA,NA,Abu Dhabi
Software Developer,NA,NA,Abu Dhabi
VUE Developer (Frontend),NA,AED 5K - AED 10K (Employer est.),Dubai
WooCommerce Developer (Customization and Plugin Development),NA,AED 3K - AED 5K (Employer est.),Dubai
Call Center Agent-Tagalog speaker,NA,AED 6K - AED 8K (Employer est.),Dubai
Sr. Software Developer,NA,NA,United Arab Emirates
SENIOR SOFTWARE DEVELOPER,NA,NA,Abu Dhabi
PHP Developer,NA,NA,Dubai
Java Developer,NA,AED 12K - AED 14K (Employer est.),Dubai
Full Stack Developer - ASP.Net / MSSQL / Webservices Expert,NA,AED 3K - AED 6K (Employer est.),Dubai
Real Estate Sales Agent,NA,NA,Ajman
Technical Coordinator,NA,AED 13K (Employer est.),Dubai
Web Developer,NA,AED 2K (Employer est.),Dubai
Senior SQL Developer,NA,NA,Abu Dhabi
Property Consultant (basic salary),NA,AED 3K - AED 5K (Employer est.),Dubai
Senior Dot Net Developer,NA,NA,Dubai
General Manager - Sales off plan (with past Property Developer experience),NA,AED 25K - AED 30K (Employer est.),Dubai
Dot Net Core(.Net Core) Senior Developer,NA,AED 8K - AED 12K (Employer est.),Ajman
Web developer,NA,AED 3K - AED 4K (Employer est.),Abu Dhabi
Sales Engineer,NA,AED 5K - AED 8K (Employer est.),Abu Dhabi
Backend Developer,NA,AED 2K - AED 4K (Employer est.),Dubai
Web Designer & Developer,NA,AED 3K - AED 4K (Employer est.),Dubai
Web Developer & Digital Marketing,NA,AED 3K - AED 5K (Employer est.),Dubai
Full Stack Developer,NA,AED 17K - AED 20K (Employer est.),Dubai
Senior Full Stack Laravel Developer with DevOps & Design Pattern Exp.,NA,AED 7K - AED 9K (Employer est.),Ajman
Odoo Developer Wanted,NA,AED 4K (Employer est.),Dubai
Senior Flutter Developer,NA,AED 15K (Employer est.),Dubai
French speaking music teacher for summer camp,NA,AED 3K - AED 4K (Employer est.),Dubai
Off Plan Specialist,NA,NA,Dubai
Senior Backend Developer (NodeJS/NestJS),NA,AED 20K - AED 25K (Employer est.),Dubai
Real Estate Agent (Offplan & Secondary),NA,NA,Dubai
back-end developer,NA,AED 4K - AED 8K (Employer est.),Dubai
